,Sold_Date,latitude,longitude,year,quarter,Sold_Price
142,1996-11-05 00:00:00+00:00,-33.1079367,151.49330725,1996,4,131000.0
143,1996-11-16 00:00:00+00:00,-33.92515036,151.25127263,1996,4,232000.0
144,1996-12-23 00:00:00+00:00,-33.84890045,151.21981481,1996,4,489000.0
145,1997-01-23 00:00:00+00:00,-33.86923943,151.22525747,1997,1,86000.0
146,1997-03-05 00:00:00+00:00,-33.83276337,151.22380048,1997,1,385000.0
147,1997-03-12 00:00:00+00:00,-33.79126201,151.12665061,1997,1,295000.0
148,1997-03-23 00:00:00+00:00,-33.8997687,150.94884774,1997,1,67500.0
149,1997-03-27 00:00:00+00:00,-33.88551604,151.14786975,1997,1,250000.0
150,1997-04-14 00:00:00+00:00,-33.49406095,151.3656476,1997,2,175000.0
151,1997-04-24 00:00:00+00:00,-35.35863629,150.47402632,1997,2,1845000.0
152,1997-04-30 00:00:00+00:00,-33.73882182,150.99388073,1997,2,356500.0
153,1997-05-01 00:00:00+00:00,-32.74265308,152.08729674,1997,2,182500.0
154,1997-05-27 00:00:00+00:00,-33.75965692,150.62176269,1997,2,155000.0
155,1997-06-06 00:00:00+00:00,-33.55863977,150.66402504,1997,2,320000.0
156,1997-06-13 00:00:00+00:00,-31.43976701,152.92292192,1997,2,102000.0
157,1997-07-08 00:00:00+00:00,-33.43219163,151.36284115,1997,3,155000.0
158,1997-07-29 00:00:00+00:00,-31.90542498,152.44153038,1997,3,210000.0
159,1997-08-07 00:00:00+00:00,-35.55398428,146.16862646,1997,3,1539.0
160,1997-08-20 00:00:00+00:00,-33.38484906,151.46062336,1997,3,145000.0
161,1997-08-20 00:00:00+00:00,-33.92560507,151.15751202,1997,3,250000.0
162,1997-08-25 00:00:00+00:00,-28.56110009,153.47655467,1997,3,173000.0
163,1997-09-15 00:00:00+00:00,-33.90987595,150.86860032,1997,3,65000.0
164,1997-09-29 00:00:00+00:00,-32.9472689,151.75175671,1997,3,690000.0
165,1997-09-30 00:00:00+00:00,-33.63617271,150.80086064,1997,3,133000.0
166,1997-09-30 00:00:00+00:00,-34.57021217,150.79441471,1997,3,90000.0
167,1997-10-13 00:00:00+00:00,-28.64485757,153.62315826,1997,4,160000.0
168,1997-10-13 00:00:00+00:00,-33.79416184,150.91047593,1997,4,90000.0
169,1997-10-16 00:00:00+00:00,-32.82230411,151.47548305,1997,4,97000.0
