,Contract Date,Property Unit Number,Property House Number,Property Locality,State,Purchase Price,Postcode,Street,Year,Quarter,prev_quarterly_median
105,1991-08-16 00:00:00+00:00,,,,,190000,2067,,1991,3,250000
106,1991-08-19 00:00:00+00:00,,,,,264000,2067,,1991,3,230000
107,1991-08-20 00:00:00+00:00,,127,PANANIA,NSW,187000,2067,TOMPSON,1991,3,250000
108,1991-08-21 00:00:00+00:00,,,,,282500,2067,,1991,3,200000
109,1991-08-21 00:00:00+00:00,,15,CHATSWOOD,NSW,188000,2067,SEPTIMUS,1991,3,250000
110,1991-08-22 00:00:00+00:00,,19A,CHATSWOOD,NSW,188000,2067,MACQUARIE,1991,3,250000
111,1991-08-23 00:00:00+00:00,12,37,CHATSWOOD,NSW,190000,2067,ARCHER,1991,3,250000
112,1991-08-26 00:00:00+00:00,,,,,229000,2067,,1991,3,237500
113,1991-08-26 00:00:00+00:00,,13A,CHATSWOOD WEST,NSW,188000,2067,GREVILLE,1991,3,250000
114,1991-08-27 00:00:00+00:00,,,,,188000,2067,,1991,3,190000
115,1991-08-30 00:00:00+00:00,,33,CHATSWOOD,NSW,222500,2067,LAMETTE,1991,3,230000
116,1991-09-09 00:00:00+00:00,,29,CHATSWOOD WEST,NSW,242000,2067,JAMES,1991,3,230000
117,1991-09-09 00:00:00+00:00,,,,,189000,2067,,1991,3,250000
118,1991-09-09 00:00:00+00:00,,3,CHATSWOOD,NSW,190000,2067,ALBERT,1991,3,250000
119,1991-09-09 00:00:00+00:00,,12,CHATSWOOD,NSW,360000,2067,NICHOLSON,1991,3,360000
120,1991-09-10 00:00:00+00:00,,29,CHATSWOOD,NSW,350000,2067,BERESFORD,1991,3,250000
121,1991-09-10 00:00:00+00:00,,19B,CHATSWOOD,NSW,280000,2067,SAYWELL,1991,3,250000
122,1991-09-10 00:00:00+00:00,,19,CHATSWOOD WEST,NSW,189500,2213,VALERIE,1991,3,187000
123,1991-09-10 00:00:00+00:00,,,,,193000,2067,,1991,3,190000
124,1991-09-12 00:00:00+00:00,,93,CHATSWOOD WEST,NSW,262000,2067,QUEBEC,1991,3,2000000
125,1991-10-02 00:00:00+00:00,,302,CHATSWOOD,NSW,360000,2067,VICTORIA,1991,4,190000
126,1991-10-03 00:00:00+00:00,,56A,CHATSWOOD WEST,NSW,192500,2067,MILLWOOD,1991,4,210500
127,1991-10-03 00:00:00+00:00,,,,,237500,2067,,1991,4,253000
128,1991-10-04 00:00:00+00:00,,,,,188000,2067,,1991,4,193000
129,1991-10-10 00:00:00+00:00,,23,CHATSWOOD,NSW,190000,2067,BERESFORD,1991,4,260000
130,1991-10-17 00:00:00+00:00,,10,CHATSWOOD,NSW,243500,2067,HOTHAM,1991,4,240000
131,1991-10-18 00:00:00+00:00,,11,CHATSWOOD,NSW,250000,2067,MALVERN,1991,4,260000
132,1991-10-23 00:00:00+00:00,,,,,221000,2067,,1991,4,206500
133,1991-10-24 00:00:00+00:00,6,22,CHATSWOOD,NSW,228000,2067,THOMAS,1991,4,280000
134,1991-10-24 00:00:00+00:00,,627,CHATSWOOD,NSW,230000,2067,PACIFIC,1991,4,365000
135,1991-10-24 00:00:00+00:00,,,,,520000,2067,,1991,4,365000
136,1991-10-30 00:00:00+00:00,,6,CHATSWOOD,NSW,333980,2067,SPEARMAN,1991,4,300000
137,1991-10-31 00:00:00+00:00,,,CHATSWOOD,NSW,520000,2067,SAYWELL,1991,4,253000
138,1991-11-01 00:00:00+00:00,,,,,202500,2067,,1991,4,190000
139,1991-11-08 00:00:00+00:00,,50,CHATSWOOD,NSW,233000,2067,VICTORIA,1991,4,201000
140,1991-11-11 00:00:00+00:00,84,1A,CHATSWOOD,NSW,250000,2067,KOORINGA,1991,4,240000
141,1991-11-12 00:00:00+00:00,,,,,190000,2067,,1991,4,365000
142,1991-11-15 00:00:00+00:00,,24,CHATSWOOD,NSW,338007,2067,GOODCHAP,1991,4,400000
143,1991-11-22 00:00:00+00:00,10,43,CHATSWOOD,NSW,280000,2067,JOHNSON,1991,4,190000
144,1991-11-28 00:00:00+00:00,,26,CHATSWOOD,NSW,200000,2067,BERTRAM,1991,4,193000
145,1991-11-28 00:00:00+00:00,,,,,200000,2067,,1991,4,193000
146,1991-11-29 00:00:00+00:00,48,882,CHATSWOOD WEST,NSW,345000,2067,PACIFIC,1991,4,280000
147,1991-12-03 00:00:00+00:00,,117,CHATSWOOD,NSW,195000,2067,VICTORIA,1991,4,189000
148,1991-12-04 00:00:00+00:00,,5,CHATSWOOD,NSW,350000,2067,MALVERN,1991,4,201000
149,1991-12-05 00:00:00+00:00,8,20,CHATSWOOD,NSW,239500,2067,MORIARTY,1991,4,262000
150,1991-12-13 00:00:00+00:00,,83,CHATSWOOD,NSW,245000,2067,GREVILLE,1991,4,206500
151,1991-12-14 00:00:00+00:00,7,42,CHATSWOOD,NSW,225000,2067,ARCHER,1991,4,245000
152,1991-12-16 00:00:00+00:00,,,,,220000,2067,,1991,4,253000
153,1992-05-25 00:00:00+00:00,,40,CHATSWOOD,NSW,196000,2067,VICTORIA,1992,2,188000
154,1992-07-01 00:00:00+00:00,,110,PANANIA,NSW,190000,2213,PICNIC POINT,1992,3,210000
155,1992-07-17 00:00:00+00:00,2,8,CHATSWOOD,NSW,225000,2067,ELLIS,1992,3,265000
156,1992-07-17 00:00:00+00:00,29,856,CHATSWOOD,NSW,302000,2067,PACIFIC,1992,3,284000
157,1992-08-07 00:00:00+00:00,,,,,270000,2067,,1992,3,267000
158,1992-09-25 00:00:00+00:00,,,,,285000,2067,,1992,3,225000
159,1992-10-29 00:00:00+00:00,,4,PANANIA,NSW,195000,2067,OXLEY,1992,4,196000
160,1992-10-30 00:00:00+00:00,6,3,CHATSWOOD,NSW,310000,2067,GIBBES,1992,4,316500
161,1992-11-06 00:00:00+00:00,,95,PANANIA,NSW,210000,2067,MALVERN,1992,4,205000
162,1992-11-17 00:00:00+00:00,,5,CHATSWOOD,NSW,210000,2067,ALBERT,1992,4,302000
163,1992-11-19 00:00:00+00:00,,19,CHATSWOOD,NSW,212000,2067,BLAKESLEY,1992,4,205000
164,1992-11-25 00:00:00+00:00,,15,CHATSWOOD,NSW,275000,2067,SHARLAND,1992,4,285000
165,1992-11-27 00:00:00+00:00,,23,PANANIA,NSW,360000,2067,BALDI,1992,4,316500
166,1992-12-18 00:00:00+00:00,,,,,190000,2067,,1992,4,285000
167,1992-12-21 00:00:00+00:00,46,35,CHATSWOOD,NSW,600000,2067,ORCHARD,1992,4,285000
168,1992-12-22 00:00:00+00:00,,,,,255000,2067,,1992,4,270000
169,1992-12-23 00:00:00+00:00,,72,CHATSWOOD WEST,NSW,210000,2067,RIVER,1992,4,205000
170,1992-12-23 00:00:00+00:00,,47,PANANIA,NSW,590000,2067,ANDERSON,1992,4,285000
171,1992-12-23 00:00:00+00:00,2,641,CHATSWOOD,NSW,190000,2067,PACIFIC,1992,4,205000
172,1992-12-23 00:00:00+00:00,,45,CHATSWOOD,NSW,325000,2067,DALRYMPLE,1992,4,285000
173,1992-12-23 00:00:00+00:00,,,,,415000,2067,,1992,4,285000
174,1992-12-23 00:00:00+00:00,,,,,320000,2067,,1992,4,285000
175,1992-12-24 00:00:00+00:00,,,,,215000,2067,,1992,4,284000
176,1992-12-29 00:00:00+00:00,,74,CHATSWOOD,NSW,1018000,2067,CENTENNIAL,1992,4,285000
177,1996-10-15 00:00:00+00:00,,31 - 37,CHATSWOOD,NSW,195000,2213,VICTOR,1996,4,192500
178,1997-04-21 00:00:00+00:00,,781,CHATSWOOD,NSW,194950,2213,PACIFIC,1997,2,223750
179,1997-04-21 00:00:00+00:00,,31 - 37,CHATSWOOD,NSW,244950,2213,VICTOR,1997,2,223750
180,1997-05-02 00:00:00+00:00,,36,CHATSWOOD,NSW,194950,2213,ANGLO,1997,2,223750
181,1997-05-06 00:00:00+00:00,,445 - 444,CHATSWOOD,NSW,194950,2213,VICTORIA,1997,2,223750
182,1997-05-20 00:00:00+00:00,,101,CHATSWOOD,NSW,194950,2213,GREVILLE,1997,2,223750
183,1997-05-27 00:00:00+00:00,,,,,194950,2213,,1997,2,223750
